Team,Conference,Region,Cinderella?,2024 NCAA Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,Total Points,PPG,Total Opp Points,Opp PPG,Scoring Margin,NET,NET SOS,Q1 Wins,Q1 Losses,3 Pointers Made,3 Pointers Attempted,3 Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,RPG,Opp Rebounds,Opp RPG,Rebound Margin,Assists,Turnovers,Assist to Turnover Ratio,TOPG,Steals,Steals per Game,Blocks,Blocks per Game,Personal Fouls,PFPG,DQs
Akron,MAC,Midwest,1,0,0,34,24,10,"2,517",74,"2,239",65.9,8.2,108,212,0,3,274,835,32.8,463,636,72.8,"1,252",36.8,"1,096",32.2,4.6,447,389,1.15,11.4,192,5.6,99,2.9,563,16.6,13
Alabama,SEC,West,0,4,1,32,21,11,"2,904",90.8,"2,594",81.1,9.7,9,4,4,10,354,969,36.5,572,730,78.4,"1,267",39.6,"1,125",35.2,4.4,515,383,1.34,12,232,7.2,133,4.2,636,19.9,25
Arizona,Pac-12,West,0,2,1,33,25,8,"2,902",87.9,"2,384",72.2,15.7,4,49,8,3,258,695,37.1,562,782,71.9,"1,407",42.6,"1,058",32.1,10.6,615,397,1.55,12,273,8.3,115,3.5,539,16.3,5
Auburn,SEC,East,0,0,1,34,27,7,"2,833",83.3,"2,313",68,15.3,5,64,3,7,273,775,35.2,594,790,75.2,"1,288",37.9,"1,176",34.6,3.3,611,360,1.7,10.6,252,7.4,212,6.2,653,19.2,7
Baylor,Big 12,West,0,1,1,33,23,10,"2,658",80.5,"2,350",71.2,9.3,15,1,10,9,279,719,38.8,553,751,73.6,"1,163",35.2,967,29.3,5.9,490,399,1.23,12.1,222,6.7,106,3.2,546,16.5,5
Boise St.,Mountain West,South,1,0,1,32,22,10,"2,426",75.8,"2,161",67.5,8.3,26,51,6,5,256,741,34.5,500,680,73.5,"1,190",37.2,953,29.8,7.4,400,357,1.12,11.2,184,5.8,77,2.4,533,16.7,7
BYU,Big 12,East,0,0,0,33,23,10,"2,701",81.8,"2,307",69.9,11.9,12,40,6,8,370,"1,063",34.8,391,530,73.8,"1,308",39.6,"1,107",33.5,6.1,613,352,1.74,10.7,196,5.9,99,3,584,17.7,8
Charleston So.,Big South,West,1,0,0,30,10,20,"2,028",67.6,"2,210",73.7,-6.1,315,146,0,4,208,629,33.1,390,530,73.6,"1,066",35.5,"1,085",36.2,-0.6,306,366,0.84,12.2,115,3.8,90,3,512,17.1,7
Clemson,ACC,West,0,3,0,32,21,11,"2,477",77.4,"2,282",71.3,6.1,35,52,5,5,267,755,35.4,454,575,79,"1,166",36.4,"1,063",33.2,3.2,469,325,1.44,10.2,144,4.5,126,3.9,505,15.8,10
Colgate,Patriot,West,1,0,1,34,25,9,"2,431",71.5,"2,150",63.2,8.3,125,270,0,2,267,739,36.1,358,526,68.1,"1,221",35.9,"1,123",33,2.9,515,360,1.43,10.6,217,6.4,119,3.5,456,13.4,6
Colorado,Pac-12,South,1,1,0,34,24,10,"2,696",79.3,"2,420",71.2,8.1,25,81,4,5,234,594,39.4,536,689,77.8,"1,277",37.6,"1,023",30.1,7.5,540,431,1.25,12.7,202,5.9,73,2.1,505,14.9,3
